network,inputfile,objective,delta,optimizer,status,optval,time,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Sherlock_Gurobi_8threads_1000.0m,success,-0.086850747,0.198755853,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Sherlock_Gurobi_1threads_1000.0m,success,-0.086850747,0.1654289,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.005,Sherlock_GLPK_1000.0m,success,-0.086850747,606.6148137,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,LBFGS,success,-0.077374824,0.438479725,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,PGD,success,-0.081705329,0.013990939,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,FGSM,success,-0.079749906,0.00109631,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabounosbt_ReLUViolation,success,-0.077374747,0.559427407,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabousbt_ReLUViolation,success,-0.077374747,0.926761993,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabounosbt_EarliestReLU,success,-0.077374747,0.58764332,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Marabousbt_EarliestReLU,success,-0.077374747,0.539824358,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.077449247,2.345687927,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_sbt_ReLUViolation,success,-0.077449247,2.099324523,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.077449247,2.504342625,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,MarabouBinarySearch_sbt_EarliestReLU,success,-0.077449247,2.109775211,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGurobi_8threads_1000.0m,success,-0.077374747,0.068473274,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGurobi_1threads_1000.0m,success,-0.077374747,0.064958351,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,VanillaMIPGLPK_1000.0m,timeout,-1,3600.29641,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_Gurobi_8threads_1000.0m,success,-0.077374747,0.191806779,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_Gurobi_1threads_1000.0m,success,-0.077374747,0.164115462,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.01,Sherlock_GLPK_1000.0m,success,-0.077374747,611.8955733,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,LBFGS,success,-0.067901535,23.68500132,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,PGD,success,-0.071811882,0.014378615,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,FGSM,success,-0.069072977,0.001975708,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabounosbt_ReLUViolation,success,-0.059752807,1.681701591,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabousbt_ReLUViolation,success,-0.059752807,1.041342014,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabounosbt_EarliestReLU,success,-0.059752807,1.885166407,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,Marabousbt_EarliestReLU,success,-0.059752807,1.319977502,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_nosbt_ReLUViolation,success,-0.059799335,8.238509001,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_sbt_ReLUViolation,success,-0.059799335,4.049085675,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_nosbt_EarliestReLU,success,-0.059799335,7.778923357,,,,,,,
AutoTaxi_64Relus_200Epochs_OneOutput.nnet,AutoTaxi_2323.npy,1.0*y1,0.015,MarabouBinarySearch_sbt_EarliestReLU,success,-0.059799335,4.350706649,,,,,,,
